Identifier,Percent,BST,Equal,Insert Tree,Search Tree,Search Item,Delete Tree,Size,Depth,Parent,Max,Delete,AVL,AVL2,Extra,A&DS,Testing,Style
Participant 13126577,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126652,No data available;,You are at the top 94.75% of everyone;,You are at the top 96.27% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 27.64% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126599,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 64.92% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126530,No data available;,You are at the top 56.08% of everyone;,You are at the top 10.87% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 10.25% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 99.38% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126551,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126583,No data available;,You are at the top 34.81% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 14.29% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126616,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126695,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126659,No data available;,You are at the top 85.08% of everyone;,You are at the top 96.27% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 64.92% of everyone;,You are at the top 37.58% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126669,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 43.37% of everyone;
Participant 13126701,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126568,No data available;,You are at the top 43.65% of everyone;,You are at the top 10.87% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126554,No data available;,You are at the top 43.65% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126635,No data available;,You are at the top 34.81% of everyone;,You are at the top 5.28% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 64.92% of everyone;,You are at the top 73.29% of everyone;,You are at the top 46.58% of everyone;,You are at the top 78.57% of everyone;,You are at the top 54.35% of everyone;,You are at the top 91.16% of everyone;
Participant 13126574,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126584,No data available;,You are at the top 68.23% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126717,No data available;,You are at the top 85.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126700,No data available;,You are at the top 94.75% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 88.82% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126569,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 84.47% of everyone;,You are at the top 22.36% of everyone;,You are at the top 40.68% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 22.98% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 27.95% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126580,No data available;,You are at the top 56.08% of everyone;,You are at the top 54.04% of everyone;,You are at the top 42.86% of everyone;,You are at the top 67.39% of everyone;,You are at the top 40.68% of everyone;,You are at the top 27.64% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 27.95% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
Participant 13126586,No data available;,You are at the top 56.08% of everyone;,You are at the top 96.27% of everyone;,You are at the top 5.28% of everyone;,You are at the top 22.36% of everyone;,You are at the top 85.4% of everyone;,You are at the top 71.43% of everyone;,You are at the top 45.65% of everyone;,You are at the top 68.94% of everyone;,You are at the top 74.84% of everyone;,You are at the top 60.25% of everyone;,You are at the top 71.43% of everyone;,You are at the top 86.19% of everyone;,You are at the top 73.29% of everyone;,You are at the top 79.5% of everyone;,You are at the top 78.57% of everyone;,You are at the top 82.92% of everyone;,You are at the top 43.37% of everyone;
